"On February 1, a man dispatched the following letter to a mechanic:""My car has not been running very well lately. I'll pay you $275 if you will change the oil, replace the oil filter, and adjust the carburetors by February 10. ""The mechanic received the man's letter on February 3. That same day, he telephoned an auto supply company and ordered the necessary materials to perform the repair work. Two days later, the mechanic met the man at a party and this conversation took place:The man: ""Disregard the letter I sent you last week. ""The mechanic: ""No way, man, I already ordered the materials on from the auto supply company. ""The man: ""Sorry, but I sold my car yesterday, so forget the repair work. ""If the mechanic initiates suit for breach of contract, which of the following is the man's strongest argument that no enforceable contract was formed between the parties?",The mechanic had not completed performance before the man revoked his offer.,The man's offer could only be accepted by a return promise.,"Because the man made his offer by letter, the mechanic could accept only in the same manner.","Although the mechanic was preparing to perform the repair work, he had not begun the requested acts of acceptance when the man revoked his offer.",D
"A defendant, a 14-year-old male, was tried as an adult for an armed robbery and was convicted. No one had been physically harmed during the robbery. In light of the defendant's lengthy juvenile criminal history, which included violent offenses, and the fact that armed robbery is a crime of violence, he was sentenced to life in prison without the possibility of parole. Did the life-without-parole sentence violate the Eighth Amendment ban on cruel and unusual punishment?","No, because a juvenile may be sentenced to life without parole if release would pose a danger to the community.","No, because the Eighth Amendment does not apply outside the context of capital punishment.","Yes, because a life-without-parole sentence is not permissible for a juvenile defendant convicted of a nonhomicide offense.","Yes, because a life-without-parole sentence is not permissible for an adult or juvenile defendant convicted of a nonviolent offense.",C
"A college student attended a fraternity party. He noticed a young woman flirting with him in a sexually suggestive way. He took her home and ended up forcefully raping her against her will. She escaped after the rape and went directly to the authorities. The police filed charges of rape. The student-defendant found several men willing to testify that the woman was promiscuous, that they had relations with her and that she was very prolific in her sexual life. Will the trial court likely permit the witnesses to testify to the woman's sexual predisposition under the Federal Rules of Evidence?","Yes, because the rules permit evidence of a victim's sexual predisposition to test credibility.","Yes, because the evidence will help the jury see that there may be two sides to the story and that the woman was thus the sexual predator instead of the man.","No, because such ""sexual predisposition"" evidence is generally prohibited by the rules of evidence except under narrow exceptions.","No, because the rules of evidence prohibit all evidence of a victim's prior sexual history.",C
"A city sent a certified notice by U.S. mail to a homeowner telling the owner that the property was listed for a foreclosure sale for failure to pay real estate property taxes. The post office quickly returned the notice to the city as being ""unclaimed."" The city decided that the notice was sufficient, and sold the property. The owner had been out of the country and did not claim his certified mail. When he found out he sued the city on the basis that there was insufficient notice. Will the owner succeed in having the foreclosure declared void by the court?","No, because the sending of certified notice to the property's address was reasonably calculated to reach him, which satisfies due process concerns.","No, because the owner knew that he wasn't paying his taxes and that constituted de facto notice that that his property was subject to governmental taking.","Yes, because in most circumstances an ""unclaimed"" notification is insufficient to satisfy the demands of due process.","No, because the city had a right to expect that an owner will leave his property in the hands of someone who will notify him if his interest is in jeopardy.",C
"A defendant was driving his car recklessly at a high rate of speed through a residential neighborhood. He was traveling at a speed of over 100 M. P. H. when he lost control of the car and jumped a curb, striking a woman who was walking along the sidewalk. As a result of the collision, the woman suffered severe internal injuries and fractured both legs. She was hospitalized for 11 months and became permanently disabled. If the defendant is charged with attempted murder, he should be found","guilty, because a person is presumed to intend the natural and probable consequences of his acts.","guilty, because criminal liability is predicated upon the defendant's willful and wanton disregard for the safety of others.","not guilty, because the defendant did not intend to kill the woman.","not guilty, because he lost control of the vehicle.",C
"A husband visits an attorney seeking a divorce because of his wife's infidelity. At the client consultation, the attorney's secretary took notes. With the permission bf the husband, the attorney's law clerk also sat in on the consultation to see how the attorney conducted these meetings. Shortly after this initial consultation with the attorney, the secretary quit. During the divorce trial, the wife's attorney seeks to call the secretary to testify about what the husband told the attorney during the initial client consultation. Upon objection, the secretary's proposed testimony will most likely be","admissible, because her presence during the meeting destroyed the attorney-client privilege.","admissible, because the law clerk's presence during the meeting destroyed the attorney- client privilege.","inadmissible, because the attorney-client privilege disqualifies the secretary from testifying to such confidential communications.","inadmissible, because it is hearsay not within any recognized exception.",C
"During a defendant's trial for driving while intoxicated, the prosecutor called a toxicologist to testif' as an expert witness. The toxicologist testified that the defendant's blood alcohol level, registered after his arrest, was 0. 14%. At the close of the toxicologist's testimony, the trial judge, over defense objections, instructed the jury that, in accordance with state law, a person with a blood alcohol level greater than 0. 10% is presumed to be intoxicated. No other instruction relating to that presumption was given. A relevant statute in this jurisdiction makes driving while intoxicated a felony and defines intoxication ""as a state of severely impaired mental and physical capacity caused by the ingestion of drugs or alcohol. ""The defendant was subsequently convicted of driving while intoxicated. On appeal, his conviction should be","affirmed, because the defendant had an opportunity to rebut the presumption.","affirmed, because the judge's instruction merely permitted the jury to reach a conclusion that they could have decided upon without the presumption.","reversed, because the jury might determine that the instruction in effect relieves the prosecutor of the burden of proof beyond a reasonable doubt.","reversed, because such an instruction may be considered an indication of guilt and, therefore, violative of the defendant's privilege against self-incrimination.",C
"A man and a woman had a romantic relationship for one year, but the man ended it. The woman was unable to accept the breakup and continued trying to contact the man. The woman would call the man's home and cellphone many times each day, and also tried to visit the man's home and workplace frequently. The man tried to discourage the woman's behavior, but the woman persisted. If the man asserts a claim against the woman based on invasion of privacy, the most likely outcome is that the man will","prevail, because the telephone calls intruded upon his seclusion and solitude.","prevail, but only if the man is able to prove malice on the defendant's part.","not prevail, because the telephone calls did not cause the man to suffer any economic loss or hardship.","not prevail, unless the woman's conduct was a crime in some respect.",A
"A truck driver negligently changed lanes on the highway without checking to see if it was clear to do so. As a result, a car that was next to the truck was forced off the highway and crashed into a concrete barrier along the roadway. The driver of the car suffered a broken leg. An ambulance arrived and rushed her to the hospital. A doctor there examined the broken leg and ordered X-rays to be taken. The doctor carelessly misread the X-rays and set the broken bone improperly. As a result of the doctor's negligence, the driver's leg never healed completely, and the driver was left with a significant impairment of the use of her leg. If the driver of the car brings a negligence action against the driver of the truck, the most likely result is","the truck driver will not be liable for any damages, because the doctor's negligence constituted a superseding cause that relieved the truck driver of liability.","the truck driver will be liable for the harm suffered by the plaintiff when her car crashed, but not the additional or enhanced harm resulting from the doctor's careless mistake.",the truck driver will be liable only if his negligence is regarded by the jury as being more severe than the doctor's negligence.,"the truck driver will be liable for all the harm suffered by the plaintiff, although the doctor may be liable to some extent, as well.",D
"Late one night, co-defendants broke into a warehouse and proceeded to load the large crates of appliances onto their truck. As they were leaving, one of the co-defendants inadvertently threw his cigarette butt into a refuse pile of old cardboard boxes and papers. Soon afterward, the refuse ignited into a small fire. Although the co-defendants had time to douse the fire without any danger to themselves, neither did so. Instead, they climbed into the truck and fled. Meanwhile, the fire quickly spread, engulfing the entire warehouse in flames. At common law, the co-defendants should be found guilty of",burglary and arson.,larceny and arson.,larceny only.,"burglary, larceny, and arson.",C
"A man decided to stop at a drive-through hamburger stand for a late snack. As he drove up to the drive- through line, the manager of the hamburger stand informed him through the intercom system that the restaurant was closing and no further orders would be accepted. She told the man that the last car to be served was the one directly in front of him. The man became angry and yelled into the intercom machine, ""Listen, babe, I am hungry. I want two cheeseburgers, a large order of fries, and a Coke. "" The manager retorted, ""I'm terribly sorry, but we cannot accept your order. ""Shortly thereafter, the manager handed the food order to the passengers in the car immediately in front of the man's. When the man saw the manager serving that car, he became very angry, drove his automobile up to the service window and shouted at the manager, ""You can't do this to me. "" When the manager laughed, the man suddenly reached into the car's glove compartment and pulled out a gun. He aimed at the manager and fired the weapon, intending to hit her. The bullet missed the manager but hit a customer, wounding him in the head. In an action by the customer against the man for battery, the customer will be","successful, because the man intended to shoot the manager.","successful, because there was a ""substantial certainty"" that the customer would be hit by the bullet.","unsuccessful, because the man could not foresee that the bullet would hit anyone other than the manager.","unsuccessful, because the man did not intend to shoot the customer.",A
"A man and a woman conspired together to rob a bank. As they were exiting the bank after the robbery they were confronted by armed tactical police officers. The man raised his gun at the officers and a flurry of shots followed. The man was injured but survived; the woman co-conspirator died from a police officer's bullet. The authorities charged the man with felony-murder of the woman. He was convicted and appealed. Under the prevailing modern view of felony murder, will the appellate court likely reverse the first-degree murder conviction?","Yes, because the felony murder rule has been declared unconstitutional.","Yes, because the majority view is that felony murder does not apply if a co-conspirator is killed by a third person during the commission of the crime.","No, because all states recognize that felony murder applies to any deaths that occur during the commission of the crime regardless of who fired the fatal shot.","No, because the man started the flurry of shots instead of surrendering; he caused the woman's death and is guilty of first degree murder.",B
"Rainbow Corporation has outstanding 1,000 shares of voting common stock and 1,000 shares of nonvoting preferred. The preferred has a liquidation preference equal to its par value of $100 per share plus a 3 percent noncumulative dividend. Rainbow submits to its stockholders a proposal to authorize a new class of preferred stock with redemption rights that would come ahead of the old preferred stock. At a shareholders' meeting, 700 common and 400 preferred vote in favor of the proposal. Which of the following statements is correct?",The proposal is validly approved because overall a majority of the outstanding shares did approve.,The proposal is invalidly approved because a majority of the preferred shareholders did not approve.,The vote of the preferred stockholders does not matter because it was nonvoting stock.,The proposal is invalidly approved because a two-thirds vote of each class is required.,B
"A state statute provides: ""Whenever a person knows or should know that he (or she) is being arrested by a police officer, it is the duty of such person to refrain from using force or any weapon in resisting arrest. "" Violation of the statute is made punishable by fine and/or imprisonment. One morning, there was a bank robbery in the state. That afternoon, a police officer arrested a suspect who he believed was involved in the crime. However, the police officer and the suspect have given different accounts concerning what happened next. According to the police officer, after the suspect was apprehended, he resisted arrest and hit the police officer in the mouth with his fist. The police officer, who was momentarily stunned, pulled out his nightstick and struck the suspect over the head with it. On the other hand, the suspect claimed that after he was arrested, he cursed at the policeman, whereupon the police officer began hitting the suspect with his nightstick. To avoid being hit again, the suspect hit the police officer with his fist, knocking him down. The suspect was charged with assault. The suspect should be found","not guilty, if the arrest was unlawful without probable cause and the jury believes the suspect's account.","not guilty, if the arrest was lawful, provided that the jury believes the suspect's account.","guilty, if the arrest was lawful, regardless which account the jury believes.","guilty, if the arrest was unlawful, regardless which account the jury believes.",B
"A circus operates in a rural part of the county. It is the circus's practice to finish each day's entertainment by discharging a so-called aerial bomb into the sky. After exploding, the aerial bomb emits a spectacular rainbow fireworks display that is seen for miles around. One afternoon, a 10-year-old boy and a few friends went to the fairgrounds to see the circus. After paying their admission, they were about to enter the ""big top"" when the boy came upon an aerial bomb lying on the ground. Ignorant of what the object really was, but in an exploratory mood, the boy applied a match to the fuse of the fireworks device. It exploded and seriously injured the boy. After the accident, and before the parents of the boy had retained a lawyer, the adjuster for the circus's insurance carrier contacted the parents several times, trying to negotiate a settlement of their claim against the circus. On each occasion, the adjuster told the parents there was no need for them to hire an attorney because the applicable civil code did not provide for recovery in such a situation. The adjuster was aware that this information was blatantly false. He also warned the parents that unless they accepted his offered settlement of $5,000, they would receive nothing. For over a month, the adjuster continued to harass the parents. Outraged by the adjuster's actions, the parents sought the advice of a neighbor who recommended that they consult an attorney. The parents went ahead and retained a lawyer who subsequently negotiated a $250,000 settlement with the adjuster's insurance company for the claims relating to the boy's injury from the aerial bomb. If the parents assert a claim against the adjuster to recover damages for infliction of emotional distress, they will","recover, because the adjuster's actions exceeded the bounds of common decency.","recover, because the adjuster was trying to take unfair advantage of the parents.","not recover, because the parents did not suffer emotional distress that was severe.","not recover, because the parents eventually received a $250,000 settlement from the adjuster's insurance company.",C
"Defendant was seen leaving Neighbor's yard with Neighbor's new $10 garden hose. Neighbor called the police, who charged Defendant with the second-degree misdemeanor of petit theft by issuing him a notice to appear in the county courthouse one week later. Defendant appeared at the scheduled place and time and asked the judge to appoint a lawyer to represent him. The judge found Defendant to be indigent. The judge",must appoint Defendant a lawyer.,must appoint Defendant a lawyer if the State subsequently charges Defendant by information.,need not appoint Defendant a lawyer if the judge states in writing that Defendant will not go to jail for more than six months if convicted.,need not appoint Defendant a lawyer if the judge states in writing that Defendant will not go to jail at all if convicted.,D
"A man hired a videographer to film his daughter's wedding. The written contract entered included a ""payment clause,"" which provided that the videographer would be ""paid $10,000 for the filming and editing of a 60-minute video of the wedding and the reception. "" The man included in the contract a stipulation that the video would be filmed using high definition equipment. The contract made no other reference to compensation. Thereafter, the videographer filmed and edited the 60-minute video, using high definition equipment, and presented it to the man. The videographer then submitted to the man an invoice statement in the amount of $15,000. Besides the $10,000 contract figure, the bill included a $5,000 charge for the use of the high definition equipment. Denying any additional liability, the man sent the videographer a check for $10,000. The videographer then brought suit against the man to recover the additional $5,000. Which of the following arguments would be most persuasive to support the videographer's contention that when the written contract was executed, the man agreed to pay the videographer $5,000 for use of the high definition equipment in addition to the $10,000 fee?","According to the customary trade practice of the video industry, a $10,000 fee for filming and editing means $10,000 in addition to a supplemental charge if high definition equipment is used.","An oral agreement to that effect, if provable, would only supplement, not contradict, the ""payment clause"" as written.","Under the UCC, extrinsic evidence, if available, of additional terms agreed to by the parties is admissible unless such terms ""would certainly vary or contradict those contained in the document. ""","Assuming arguendo that the written ""payment clause"" was fully integrated and neither patently nor latently ambiguous, equitable considerations require admission of extrinsic evidence, if available, of the parties' intent, since the videographer would stand to lose $5,000 on the contract.",A
"A police officer stopped a driver who had run a red light. Upon approaching the car, the officer noticed a strong odor of alcohol and immediately asked whether the driver had been drinking. The driver admitted having had several alcoholic drinks that evening. The driver, charged with driving while intoxicated, moved to suppress the officer's testimony regarding the driver's statement about his drinking. The driver argued that the officer had elicited the statement without providing the requisite Miranda warnings. The prosecutor has responded that the statement The prosecutor has responded that the statement should be allowed in the prosecution's case-in- chief or, at a minimum, should be allowed as impeachment in the event the driver testifies and denies drinking. How should the court rule regarding the driver's statement admitting his drinking?","The statement should be allowed, because although the driver was in custody, the officer's spontaneous utterance upon smelling alcohol did not rise to the level of interrogation.","The statement should be allowed, because the driver was not in custody for Miranda purposes when the admission was made.","The statement should be suppressed both in the prosecution's case-in-chief and as impeachment evidence, even if the driver testifies.","The statement should be suppressed in the prosecution's case-in-chief, but it may be prosecution's case-in-chief, but it may be used as impeachment evidence if the driver testifies.",A
"A 50-year-old nurse who had been fired from his job at ahospital told his attorney, ÒI was fired because of my age, and I want to sue the hospital.Ó Based on this information, the attorney filed an age discrimination complaint against the hospital in federal court. As it turned out, the hospital had hired a 52-year-old man as the nurseÕs replacement, a fact that rendered an age discrimination claim unavailable. The hospital responded tothe complaint by filing a motion for sanctions against thenurseÕs attorney. Is the court likely to grant the hospitalÕs motion?","No, because sanctions are not proper against the attorney of a represented party.","No, because the hospital failed to give the attorney the chance to withdraw the complaint in advance of filing the motion with the court.","Yes, because the nurseÕs attorney failed to conduct areasonable pre-filing inquiry.","Yes, because the nurseÕs complaint contained legal contentions that were not warranted by existing lawbased on the facts in this case.",B
"A man who was separated but never divorced from his first wife, married another woman and lived with her as husband and wife. The man and his purported second wife bought a home together as tenants by the entirety. They lived there together for a few years, when the man was accused and convicted of killing his purported wife. He was given a life sentence. The decedent's estate brought a quiet title action to declare the property forfeited to the decedent on the basis that a murderer cannot benefit from his crime. The trial court awarded the property to the estate. The man appealed from his prison cell. Under the common law, will the appellate court affirm the trial court's decision and strip the man of all ownership rights in the home?","Yes, because a murderer cannot reap the benefits of his ill-doing.","Yes, because the murderer was also a bigamist who could not take good title to the property in the first place, thus putting full title in the decedent from the date of purchase.","No, the court will as a policy matter recognize the murderer's pre-slaying right to one-half of the property as a tenant in common.","No, there is no rule of law that gives the victim or her estate any additional rights in the property that she had before the homicide.",C
"A woman was employed as a bank teller. One morning, a customer entered the bank to make a deposit. As the customer handed the deposit to the woman, she saw that he had a misprinted $5 bill in his possession. The woman knew that the $5 bill, which had President Lincoln's picture upside down, was worth $500 to bill collectors. The woman then asked the customer if he would like to exchange ""that old $5 bill for a new bill. "" The customer accepted the woman's offer and handed her the misprinted bill for a new one. One week later, the customer learned that the $5 bill that he gave the woman was valued at $500. If the customer asserts a claim against the woman for deceit, will he prevail?","Yes, because the customer was the true owner of the misprinted bill and, therefore, he was entitled to the benefit of the bargain.","Yes, because the woman did not disclose the true value of the misprinted bill.","No, because the woman made no false representation of fact.","No, because the customer was not justified in relying on the woman's offer.",B
"An art collector attended a party on March 15. At the party, the art collector was describing his collection to a woman in attendance. When the art collector described a painting by a well-known artist, the woman indicated she might like to buy that painting. The art collector said, ""I'll sell you the painting for $10,000. I'll give you 30 days to decide whether you want the painting. "" On March 25, the art collector wrote to the woman and stated that the offer of March 15 was withdrawn. The woman received the March 25 letter on March 26. On March 27, the woman wrote the art collector the following letter:""Please be advised that I hereby accept your offer of March 15. "" The art collector received this letter on March28. Thereafter, the art collector and the woman engaged in several telephone discussions. On April 10, the woman, in a telephone conversation, told the art collector that she would pay $15,000 if the painting was delivered on or before April 15. The art collector agreed to deliver the painting for $15,000. On April 15, the art collector tendered the painting, but the woman refused to pay more than $10,000. If the art collector asserts a claim against the woman for breach of contract, which of the following is the most accurate statement?","The art collector is obligated to sell the woman the painting for $10,000, because the woman, as offeree, had the right to accept the initial offer within the 30-day period.","Since the art collector, as offeror, had the power to revoke the original offer before acceptance, the woman is obligated under the terms of their April 10 agreement.","Since the parties entered into a subsequent modification, the woman is obligated to pay the art collector $15,000 for the painting.","An enforceable contract does not exist between the parties, because of mutual mistake of fact.",B
"A pet store owner opened a store in a new town. She was not aware that the city council had recently passed a law prohibiting the sale of cats and dogs from a retail pet store. The statute had a provision that allowed the pet store to give space to a non-profit humane society to adopt animals from the pet store. The owner sued the city in federal court, claiming a violation of due process and equal protection under the Fourteenth Amendment. The court used the rational basis test to conclude that the statute served a legitimate state interest and was enforceable. The pet store owner appealed the decision. Will the appellate court likely affirm the decision of the lower court?","Yes, because the pet store owner was not treated differently than any other pet store owner.","Yes, because the correct test requires only that the law in question will satisfy any set of facts that could establish a rational basis for achieving legitimate government ends.","No, the pet store owner has a vested constitutional right to earn a living and that is unreasonably precluded by the law in question.","No, because this ordinance is so invidiously discriminatory that it must pass the strict scrutiny test, which it fails to do.",B
"A mother hated a girl because she always seemed to outperform her daughter and make her feel inferior. Fearing that the girl would beat out her daughter for the last cheerleading position, the mother decided to kill the girl. One night while the mother and her boyfriend were having dinner, the mother asked him to kill the girl. The mother handed her boyfriend a gun and gave him the home address where the girl lived. Unknown to the boyfriend, the mother gave him the wrong address. By mistake, the boyfriend went to the home of a family who lived across the street from the girl. The boyfriend rang the doorbell and a woman opened the door. The boyfriend asked the woman if her daughter was home. The woman called for her daughter to come to the front door. When she did so, the boyfriend shot and killed both the woman and her daughter. The mother should be found guilty for which, if any, of the following crimes?",Conspiracy and voluntary manslaughter.,"Conspiracy, attempted murder, and two counts of murder.",Solicitation and two counts of murder.,Solicitation and attempted murder.,B
"A woman owned land that abutted a public highway to the south. A neighbor owned the land immediately to the north. The neighbor's predecessor had received an easement from the woman's predecessor in title to cross the woman's land for access to the public highway. This access was desired even though the neighbor and his predecessor had other access to public roads. Recently, the woman erected a large solar collector on a portion of her land subject to the easement, even though the woman has other power resources. The location was essential to acquire the maximum sunlight. However, by erecting the collector there, the woman effectively cut off the neighbor's ability to use the easement. The local zoning code permits the use of solar collectors. The neighbor immediately sued to compel the woman to remove the solar collector. Must the solar collector be removed?","No, because the neighbor has other means of access.","No, because the zoning code permits the use of solar collectors.","Yes, because the easement remains valid.","Yes, because the woman has other power resources.",C
"An uncle owns his property in fee simple. The uncle executes and delivers a deed to the property with the following granting clause:""To my nephew and my niece for the life of my nephew, then to my gardener. ""As a result of the grant, which of the following is the most accurate statement regarding the ownership rights of the property?","The nephew and niece are joint tenants in fee simple defeasible, and the gardener has an executory interest.","The nephew has a life estate, the niece has a life estate pur autre vie, and the gardener has a vested remainder.","The nephew and niece are tenants in common for the life of the first of them to die, the nephew and niece have contingent remainders in fee simple defeasible, and the gardener has an executory interest.","The nephew has a life estate, the niece also has a life estate, and the gardener has a vested remainder.",B
"Two people who have been cohabitating decide to get married. The man asks the woman to agree that all of his property that he now owns will remain in his name if they ever get divorced. She agrees to that but demands a written document. However, they got married without having signed anything. Three months later, the husband leaves the wife for another woman. He sends her notice to vacate the home due to their prenuptial agreement. When she doesn't move, husband sues, asking for enforcement of the oral prenuptial contract. Will the court likely enforce the husband's claim?","Yes, because the consideration for the contract was the marriage and the consummation of the marriage made the contract complete and enforceable.","Yes, because prenuptial agreements are given the benefit of the doubt when it comes to enforcement decisions.","No, because a contract in consideration of marriage must be in writing and the prenuptial was therefore not legal as long as it remained oral.","No, because husband did not live up to his promise to put the agreement in writing and therefore he was guilty of fraud.",C
"A homeowner and a contractor entered into a contract under which the homeowner agreed to pay the contractor $50,000 for remodeling the homeowner's basement according to a set of plans. After the work was completed, the homeowner honestly believed that there were defects in the contractor's work as well as departures from the plans. In fact, the contractor had fully performed. The homeowner offered to pay the contractor $35,000 in full settlement in exchange for the contractor's promise to surrender his entire claim. The contractor accepted the homeowner's offer, and the homeowner paid the contractor $35,000. The reasonable value of the work was $35,000. Is the contractor likely to succeed in an action challenging the validity of the settlement agreement?","No, because the homeowner honestly disputed the amount he owed the contractor.","No, because the reasonable value of the work was only $35,000.","Yes, because the contractor reasonably relied on the homeowner's contractual promise to pay the full $50,000, and that promise should be enforced to avoid injustice.","Yes, because the homeowner's payment of $35,000 cannot furnish consideration for the contractor's relinquishment of a claim for $50,000.",A
"A person owned property next to a highway. After raking leaves on his property into a large pile, the landowner loaded the leaves into several large metal barrels so that he could burn the leaves. Before starting the fire, the landowner telephoned the local weather bureau to determine which direction the wind would be blowing. Because a highway was located on the southern edge of his property, he was aware that it would be unsafe to burn the leaves if the wind was blowing in that direction. The weather bureau, however, indicated that the wind would be gusting in a northerly direction. Shortly after the landowner set the leaves on fire, the wind current unexpectedly shifted and started gusting in a southerly direction. As a consequence, the smoke and ashes blew over the highway, resulting in poor visibility. Moments later, a motorist was driving his automobile on the highway in a westerly direction. The posted speed limit was 45 m. p. h. , although the driver was traveling about 55 m. p. h. The driver could not see the highway clearly and crashed his vehicle into a median strip. If the driver asserts a claim against the landowner, the most likely result is","the landowner will prevail, because the driver was driving in excess of the speed limit.","the landowner will prevail, if his decision to burn the leaves was reasonable under the circumstances.","the driver will prevail, if the smoke from the burning leaves prevented him from clearly seeing the roadway.","the driver will prevail, because the landowner will be strictly liable for causing the accident.",B
"A man offered to sell his barbecue to his neighbor for $100. After receiving the man's offer, the neighbor responded, ""Let me think it over. "" The man then said, ""If you say so. "" The next day, the man sold the barbecue to his brother for $100. Thereafter, the neighbor decided to accept the man's offer, but learned from a reliable source that the barbecue had been sold to the brother. If the neighbor sues the man for breach of contract, judgment for","the man, because the offer to the neighbor terminated when the neighbor learned of the sale to the brother.","the man, because there was no consideration to keep the offer open for an extended period of time.","the neighbor, because the offer became irrevocable for a reasonable time when the man allowed the neighbor to ""think it over. ""","the neighbor, because, he is a merchant.",A
"In 1993, a rancher had good record title to a 20-acre orange grove in fee simple absolute. In 1994, the rancher delivered to his son, for a sum of $1,000, a deed signed by the rancher, naming the son and his heirs as grantee, and appearing valid on its face. The son neglected to record the deed. In 1998, a farmer, aware of the existence of the rancher-to-son deed, sought out the rancher and asked to buy for $10,000 a deed to the orange grove from the rancher to the fanner and his heirs. The rancher executed such a deed, and the fanner promptly recorded it. The farmer's intent was to acquire color of title and obtain ownership of the orange grove by adverse possession. In 1998, the farmer constructed a fence around the orange grove. In 1999, the son presented his deed of the orange grove to a retiree, and for $15,000, paid by the retiree, signed and delivered a deed of the orange grove in favor of the retiree and his heirs. After receiving the deed, the retiree made no effort to search the title, to examine the property, or to record the deed. In 2003, a buyer paid the fanner $20,000, and the farmer delivered to the buyer a deed of the orange grove in favor of the buyer and his heirs. The buyer had examined the property, had searched the title, and had no knowledge of the farmer's awareness of the prior rancher-to-son instrument. Although the buyer did not reside on the property, he regularly visited the orange grove twice a week. The buyer recorded his deed. In 2007 for $25,000 paid by an orange grower, the retiree signed and delivered adeed of the orange grove naming the orange grower and his heirs as grantees. Before the grower had paid the retiree and taken his deed, the grower visited the orange grove and observed the fence. However, the buyer was not present when the grower visited the property and nothing suggested who if anyone was using it. In any case, the grower did not attempt to search the title before making his purchase. This jurisdiction uses Grantor Grantee Indices and has no Tract Index. In 2008, what is the present state of title to the orange grove if the jurisdiction's recording act provides: ""Every conveyance of real property shall be invalid as against any person, except the grantor, his heirs, and assigns, having actual notice thereof, unless it is recorded as provided by statute""?","In a notice jurisdiction, the grower, as a subsequent bonafide purchaser, is only chargeable with notice of what appears in his chain of title and, therefore, would acquire record title to the orange grove.","In a race notice jurisdiction, the farmer would acquire equitable title to the orange grove, because he erected the fence and failed to inform the buyer of the prior rancher-to-son instrument.","In a race notice jurisdiction, the buyer, as subsequent bonafide purchaser without notice of the prior rancher-to-son instrument, would acquire record title to the orange grove.","In a notice jurisdiction, the retiree would acquire record title to the orange grove even though he failed to record his deed.",A
"On January 31, a supermarket entered into a written contract with a produce company to purchase oranges. The contract contained a provision wherein the supermarket promised to purchase ""as many oranges as required, but at a minimum 100 bushels per month at a price of $20 per bushel for the next year. "" The agreement also provided that any modifications must be in writing. On February 1, the produce company shipped the supermarket 70 bushels of oranges, which were accepted and paid for. On March 1, the produce company tendered 80 bushels of oranges, which the supermarket accepted and paid for. On April 1, the produce company delivered 100 bushels of oranges to the supermarket. This shipment was accepted and also was promptly paid for. On April 2, the manager of the supermarket became concerned because a Florida drought had resulted in a sharp increase in the price of oranges. Consequently, the manager consulted the supermarket's attorney, who advised him to demand adequate assurances that the produce company would perform its obligations under the terms of the contract. Heeding the attorney's advice, the manager sent a letter on April 3 to the produce company, expressing his concern and requesting an adequate assurance of due performance for the balance of the contract. This letter was received by the produce company on April 4. Which of the following best states the supermarket's legal rights against the produce company?","Cancel the contract on May 1, cover immediately and then sue for damages.","Wait until the May 1 shipment; if it doesn't comply, demand adequate assurances, and not obtaining them, then sue for damages.",Wait until the end of the contract and then sue for damages.,"Wait a reasonable time not to exceed 30 days; if adequate assurances are not received, cancel the contract, cover immediately and then sue for damages.",D
"A woman was employed as a sales clerk at a department store. She worked in the women's lingerie section. One evening around closing time, the woman took a diamond necklace from a cabinetin the jewelry section of the department store and wrapped it in tissue paper. The woman then surreptitiously stuffed the necklace in a shopping bag, intending to remove it when she left the store. Moments later, the store owner approached the woman and told her she needed to stay late in order to do inventory. While the woman was completing inventory, the owner discovered the necklace and called the police. The woman is most likely guilty of",attempted larceny.,larceny.,false pretenses.,embezzlement.,B
"The state constitution in one state guaranteed the right to marry to same-sex and opposite-sex couples alike. A political group got a proposition on the ballot, and a majority of the people voted to eliminate the right of same-sex couples to marry. The proposition did not affect any of the other rights that same-sex couples may have possessed from existing state law. Persons affected sued the state government for unconstitutionally taking away the rights that they had and doing it for no legitimate purpose, in violation of the due process clause of the Fourteenth Amendment. Will the court grant the requests of the lawsuit and declare the proposition void and reinstate the rights of same-sex couples to marry?","Yes, under the due process clause no compelling state interest justifies denying same-sex couples the fundamental right to marry.","Yes, because under the Fourth Amendment it would be an illegal interference against the right of privacy guaranteed to everyone.","No, because the people voted to take a provision out of the existing constitution and when that is done by public vote it cannot be altered.","No, because the ballot proposition was properly placed on the ballot and all statutory procedures were followed, thus precluding the courts from taking adverse action.",A
"A woman owned four beach houses. Each house had star-shaped windows. As the hurricane season was approaching, she hired a carpenter to build storm windows for the star-shaped and deliver them to the four houses. Because of the unique shape of the windows, the carpenter had to do all work by hand. The carpenter and woman signed a contract under which the carpenter promised to build and deliver the storm windows to all four beach houses within 30 days, and the woman promised to pay $8,000 ($2,000 per beach house) within one week of completion of the job. Two weeks after the contract was signed, a fire destroyed the carpenter's workshop, where he was storing all the completed storm windows before delivery. The carpenter then sent a letter to the woman that read:""The fire destroyed my equipment and inventory  including the storm windows, which had been completed and which were awaiting delivery. I am dead broke and cannot complete my obligations under the contract. "" The woman then telephoned the carpenter and told him, ""Unless you fulfill your contractual obligations, I will sue you!""In an action for specific performance to compel the carpenter to build and deliver the storm windows, the woman will most likely","succeed, because the carpenter's loss of the inventory would not excuse his duty of performance.","succeed, because the beach houses would suffer severe damage in the event a hurricane struck without the storm windows having been installed.","not succeed, because the carpenter's performance would be excused by the unforeseeable act of God.","not succeed, because the carpenter's loss of inventory would render his performance impossible.",A
